,bt,km,transmission,ownerNo,oem,modelYear,Insurance Validity,Fuel Type,RTO,Features,Mileage,Engine,Max Power,Torque,Seats,Color,No of Cylinder,Values per Cylinder,Turbo Charger,Length,Width,Height,Wheel Base,Gear Box,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,City
2102,0,35413,1,1,7,2016,2,3,25,9,18.6,1197,81.83,114.7,5.0,12,4,4,0,3985.0,1734.0,1505.0,2570.0,5,3,0,1,1,5,1
2103,0,40000,1,2,11,2018,2,3,29,9,24.7,796,47.3,69.0,5.0,8,3,4,0,3430.0,1515.0,1475.0,2360.0,5,3,0,1,1,5,1
2104,0,66285,0,1,6,2017,2,3,25,9,19.0,1199,88.7,110.0,5.0,12,4,4,0,3955.0,1694.0,1544.0,2530.0,5,3,0,1,1,5,1
2107,0,37218,1,2,7,2019,2,3,25,9,18.9,1197,81.86,113.75,5.0,8,4,4,0,3765.0,1660.0,1520.0,2425.0,5,3,0,1,1,5,1
2108,3,60000,1,1,7,2019,2,3,25,9,18.27,998,118.35,171.6,5.0,8,3,4,1,3995.0,1770.0,1605.0,2500.0,6,3,0,1,0,5,1
2109,0,33640,1,1,7,2019,2,3,25,9,18.6,1197,81.86,117.0,5.0,1,4,4,0,3985.0,1734.0,1505.0,2570.0,5,3,0,1,1,5,1
2110,0,23608,1,1,4,2020,0,3,25,9,18.5,1194,94.93,119.0,5.0,12,3,4,0,3954.0,1737.0,1570.0,2490.0,5,1,0,1,1,5,1
2111,0,22353,1,1,7,2013,0,3,25,9,18.5,1197,82.85,113.7,5.0,11,4,4,0,3995.0,1710.0,1505.0,2525.0,5,3,0,1,1,5,1
2114,0,86173,1,1,11,2012,2,3,25,9,21.79,998,67.05,90.0,5.0,1,3,4,0,3655.0,1620.0,1675.0,2435.0,5,3,0,1,1,5,1
2115,0,91143,1,1,7,2011,0,3,25,8,20.36,1197,78.9,111.7,5.0,10,4,4,0,3585.0,1595.0,1550.0,2380.0,5,3,0,1,1,4,1
2118,0,120000,1,2,19,2011,2,1,29,9,22.07,1199,73.9,180.0,5.0,8,3,4,0,3970.0,1682.0,1453.0,2456.0,5,3,0,1,1,5,1
2121,0,77957,1,1,7,2016,0,3,25,9,18.6,1197,81.83,114.7,5.0,10,4,4,0,3985.0,1734.0,1505.0,2570.0,5,3,0,1,1,5,1
2122,3,81394,1,2,7,2017,2,3,25,9,13.0,1591,121.3,151.0,5.0,12,4,4,0,4270.0,1780.0,1630.0,2590.0,6,3,0,1,1,5,1
2124,0,33407,1,1,7,2017,0,3,25,9,18.9,1197,81.86,113.75,5.0,11,4,4,0,3765.0,1660.0,1520.0,2425.0,5,3,0,1,1,5,1
2125,0,14811,1,1,2,2021,0,3,25,8,20.71,799,53.64,72.0,5.0,1,3,4,0,3435.0,1574.0,1546.0,2348.0,5,3,0,1,1,5,1
2129,0,4939,0,1,17,2022,3,3,25,9,20.09,1199,84.48,113.0,5.0,10,3,4,0,3802.0,1677.0,1537.0,2400.0,5,1,0,1,1,5,1
2130,3,82620,0,1,4,2014,0,3,25,9,16.5,1499,110.0,140.0,5.0,12,4,4,0,3999.0,1765.0,1708.0,2520.0,6,3,0,1,1,5,1
2132,0,86857,1,1,19,2015,2,1,25,9,20.14,1498,88.8,230.0,5.0,1,4,4,1,3971.0,1682.0,1469.0,2469.0,5,3,0,1,1,5,1
2135,0,14483,0,1,11,2022,2,3,25,9,25.19,998,65.71,89.0,5.0,4,3,4,0,3655.0,1620.0,1675.0,2435.0,5,3,0,1,1,5,1
2137,0,36202,1,1,4,2016,0,3,25,9,18.16,1196,86.8,112.0,5.0,3,4,4,0,3886.0,1695.0,1525.0,2491.0,5,0,0,1,1,5,1
2138,1,30000,1,1,2,2017,2,3,25,9,19.44,1198,67.0,104.0,7.0,8,3,4,0,3995.0,1635.0,1490.0,2450.0,5,3,0,1,1,5,1
2139,0,70000,1,1,4,2017,2,1,29,9,24.29,1498,99.0,215.0,5.0,0,4,2,1,3886.0,1695.0,1525.0,2491.0,5,0,0,1,1,5,1
2141,0,24077,1,1,2,2021,0,3,25,8,20.71,799,53.64,72.0,5.0,10,3,4,0,3435.0,1574.0,1546.0,2348.0,5,3,0,1,1,5,1
2142,4,81985,1,1,11,2012,0,1,25,9,19.3,1248,73.9,190.0,5.0,0,4,4,1,4160.0,1690.0,1530.0,2390.0,5,3,0,1,1,4,1
2145,3,64961,0,3,4,2016,2,3,25,9,15.63,1499,110.4,140.0,5.0,2,4,4,0,3999.0,1765.0,1708.0,2520.0,6,3,0,1,1,5,1
2146,0,20950,0,1,11,2018,0,3,25,9,23.95,998,67.05,90.0,5.0,10,3,4,0,3545.0,1515.0,1475.0,2360.0,5,3,0,1,1,5,1
2147,0,94348,1,2,7,2016,0,3,25,9,18.6,1197,81.83,114.7,5.0,10,4,4,0,3985.0,1734.0,1505.0,2570.0,5,3,0,1,1,5,1
2149,0,51744,1,1,7,2019,2,3,25,9,18.6,1197,81.86,117.0,5.0,10,4,4,0,3985.0,1734.0,1505.0,2570.0,5,3,0,1,1,5,1
2151,4,19516,1,1,6,2018,0,3,25,9,18.6,1199,88.76,110.0,5.0,10,4,4,0,3995.0,1695.0,1501.0,2470.0,5,1,0,1,1,4,1
2152,0,29093,1,1,11,2021,0,3,25,8,18.6,1197,85.8,114.0,5.0,12,4,4,0,3850.0,1695.0,1530.0,2430.0,5,3,0,1,1,5,1
2153,4,54408,0,1,6,2018,2,1,25,9,23.8,1498,78.9,160.0,5.0,11,4,4,1,3995.0,1695.0,1501.0,2470.0,5,3,0,1,1,4,1
2154,0,16000,1,1,11,2019,0,3,25,9,21.01,1197,81.8,113.0,5.0,1,4,4,0,3995.0,1745.0,1510.0,2520.0,5,1,0,1,1,5,1
2156,0,56876,1,1,2,2016,0,3,25,9,22.7,799,53.64,72.0,5.0,4,3,4,0,3429.0,1560.0,1541.0,2348.0,5,3,0,1,1,5,1
2157,0,50000,1,1,19,2014,2,1,25,9,22.07,1199,73.9,180.0,5.0,1,3,4,0,3970.0,1682.0,1453.0,2456.0,5,3,0,1,1,5,1
2158,4,84505,1,2,6,2015,0,3,25,9,18.6,1199,88.76,110.0,5.0,4,4,4,0,3995.0,1695.0,1501.0,2470.0,5,1,0,1,1,4,1
